Subject,Chapter_Name,Category,Question_Text,Answer_or_Hint,,
BK,Chapter 1 : Partnership Final Accounts,Extra_Practical,"From the following Trial Balance of M/s. Ram and Shyam you are require to prepare Trading and Profit and Loss Account for the year ended 31st March, 2019 and Balance Sheet as on that date.",,,
,,,"Trial balance as on 31st March, 2020",,,
,,,Particulars | Debit ₹ | Credit ₹,,,
,,,Purchases and Sales | 93400 | 170000,,,
,,,Sundry Debtors and Creditors | 56000 | 50000,,,
,,,Bills Receivable and Payable | 10000 | 12000,,,
,,,Commission |  | 3600,,,
,,,Wages | 9200 | ,,,
,,,Salaries | 7200 | ,,,
,,,Plant and Machinery | 21000 | ,,,
,,,Furniture | 81400 | ,,,
,,,Cash in Hand | 36000 | ,,,
,,,Carriage | 19800 | ,,,
,,,Bad Debts | 2400 | ,,,
,,,Prepaid Rent | 5000 | ,,,
,,,Capital Account: Ram |  | 120000,,,
,,,Capital Account: Shyam |  | 70000,,,
,,,Adjustment: ,,,
,,,"1. The closing stock is valued at ₹. 72,000.",,,
,,,"2. Outstanding expenses were: Wages ₹. 2,800, Salaries ₹. 1,600.",,,
,,,3. Depreciate Plant and Machinery  by 20% ,,,
,,,4. Insurance of ₹. 100 is paid in advance.,,,
,,,"5. Provide for further Bad debts of ₹. 3,000.",,,
,,,"6. Commission due but not received ₹. 2,400.",,,
BK,Chapter 1 : Partnership Final Accounts,Extra_Practical,"""From the Trial Balance of M/s. Virat and Dhoni, you are required to prepare Trading and Profit and Loss account for the year ended 31st March, 2024 and Balance Sheet as on that date. They share profit and losses in their capital ratio.",,,
,,,Particulars | Debit ₹ | Credit ₹,,,
,,,Opening Stock | 14000 | ,,,
,,,Purchases and Sales | 58200 | 106000,,,
,,,Trade Expenses | 1200 | ,,,
,,,Royalties | 3100 | ,,,
,,,Sundry Debtors and Creditors | 30000 | 27000,,,
,,,Bills Receivable and Payable | 8000 | 18000,,,
,,,Reserve for Doubtful Debts  |  | 900,,,
,,,Wages & Salaries | 7400 | ,,,
,,,Advertisement  | 4100 | ,,,
,,,Salaries | 5500 | ,,,
,,,Plant & Machinery | 22000 | ,,,
,,,Free Hold Property  | 18000 | ,,,
,,,Office Rent | 2000 | ,,,
,,,Motor Van | 31500 | ,,,
,,,Cash in Hand | 5000 | ,,,
,,,Bad Debts | 500 | ,,,
,,,General Expenses | 1400 | ,,,
,,,Capital Account: Virat |  | 40000,,,
,,,Capital Account: Dhoni |  | 20000,,,
,,,Adjustments:,,,
,,,"1. Closing Stock was value at cost ₹.38,000 while its market price was ₹. 40,000.",,,
,,,"2. Uninsured goods worth ₹.5,000 was stolen.",,,
,,,"3. Goods worth ₹.5,000 were sold and delivered on 31st March, 2024, but no entry is passed sales book.",,,
,,,4. Depreciate Plant and Machinery at 5% and Motor Van at 7.5% p.a.,,,
,,,"5. Bills Receivable includes a dishonoured bill at ₹.2,000.",,,
,,,6. Create a reserve for doubtful debts at 5% on Debtors.,,,
BK,Chapter 1 : Partnership Final Accounts,Extra_Practical,"Radha and Rani are in partnership sharing profits and losses in the ratio 3 : 2. From the following Trial Balance and adjustments given below, you are required to prepare Trading and Profit and Loss account for the year ended 31st March, 2023 and Balance Sheet as on that date.",,,
,,,Particulars | Debit ₹ | Credit ₹,,,
,,,Opening Stock | 42000 | ,,,
,,,Purchases and Sales | 174600 | 318000,,,
,,,Trade Expenses | 3600 | ,,,
,,,Royalties | 9300 | ,,,
,,,Sundry Debtors and Creditors | 90000 | 81000,,,
,,,Bills Receivable and Payable | 24000 | 54000,,,
,,,Reserve for Doubtful Debts  |  | 2700,,,
,,,Wages  | 22200 | ,,,
,,,Advertisement  | 12300 | ,,,
,,,Salaries | 16500 | ,,,
,,,Plant & Machinery | 66000 | ,,,
,,,Free Hold Property  | 54000 | ,,,
,,,Office Rent | 6000 | ,,,
,,,Motor Van | 94500 | ,,,
,,,Cash in Hand | 15000 | ,,,
,,,Bad Debts | 1500 | ,,,
,,,General Expenses | 4200 | ,,,
,,,Capital Account: Virat |  | 120000,,,
,,,Capital Account: Dhoni |  | 60000,,,
,,,Adjustments:,,,
,,,"1. Stock on hand on 31st March, 2023 was valued at ₹.1,65,000.",,,
,,,2. Depreciate Plant and Machinery at 10% p.a. and Building at 5% p.a.,,,
,,,"3. Prepaid Insurance ₹.2,250.",,,
,,,4. Create R.D.D at 5% on Sundry Debtors.,,,
,,,5. Partners are allowed interest at 5% p.a. on their capitals,,,
,,,"6. Salaries include ₹. 2,500 as advance to workers",,,
BK,Chapter 1 : Partnership Final Accounts,Exercise_Problems,"Amitbhai and Narendrabhai are in Partnership Sharing Profits and Losses equally. From the following Trial Balance and Adjustments given below, you are required to prepare Trading and Profit and Loss Account for the year ended 31st  March, 2019 and Balance Sheet as on that date.","G.P. ₹.131500, N.P. ₹. 112086, Balance Sheet Total ₹. 819586",,
,,,"Trial Balance as on 31st March, 2019",,,
,,,Particulars | Debit ₹ | Particulars | Credit ₹,,,
,,,Plant & Machinery | 280000 | Discount | 1200,,,
,,,Factory Building | 75000 | Bank Loan | 15000,,,
,,,Sundry Debtors | 28700 | Sundry Creditors | 38500,,,
